Private IP,Instance Name,Tags
192.168.20.61,Keka-ICICI Integration Server,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
192.168.20.15,ZPA-App-Connector-SofteonIN-VPC-Node-1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
192.168.20.28,NetSuite-ICICI Integration Server,WorkloadType=UAT; AwsBackup=Required; CostCenter=Softeon
172.22.10.7,UPS Europe UAT Application Server - 1,AwsBackup=Required; WorkloadType=UAT; CostCenter=UPS
172.22.22.16,HCP UAT Application Server - 1,WorkloadType=UAT; CostCenter=HCP; AwsBackup=Required
172.22.10.12,UPS Europe Production Batch Server - 1,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.22.10.27,UPS Europe Production Application Server - 1,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
172.19.28.4,UPSHC EU UAT Application Server 1,WorkloadType=UAT; AwsBackup=Required; CostCenter=UPSHC
172.22.10.44,UPS Europe Production Batch Server - 2,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.22.10.57,UPS Europe Production Application Server - 2,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.22.22.47,HCP UAT Application Server - 2,CostCenter=HCP; WorkloadType=UAT; AwsBackup=Required
172.22.22.45,HCP Production Application Server - 2,WorkloadType=Production; CostCenter=HCP; AwsBackup=Required
172.22.148.107,JAS - EMEA Production Batch Server - 1,WorkloadType=Production; CostCenter=JAS; AwsBackup=Required
172.19.28.43,ZPA-App-Connector-UPSHC-EU-VPC-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.22.10.58,UPS Europe UAT Batch - 1 and Application Server - 2,AwsBackup=Required; CostCenter=UPS; WorkloadType=UAT
172.22.10.51,UPS Europe UAT Batch - 2 and Application Server - 3,CostCenter=UPS; AwsBackup=Required; WorkloadType=UAT
172.22.22.59,HCP UAT Batch Server,CostCenter=HCP; AwsBackup=Required; WorkloadType=UAT
172.19.28.37,UPSHC EU UAT Batch and Application Server 2,WorkloadType=UAT; AwsBackup=Required; CostCenter=UPSHC
172.22.20.43,UMG OMS UAT Batch Server and Application  Server - 3,WorkloadType=UAT; CostCenter=UMG-OMS; AwsBackup=Required
172.22.22.62,HCP Production Batch Server - 2,WorkloadType=Production; CostCenter=HCP; AwsBackup=Required
172.22.148.102,JAS - EMEA Production Application Server - 2,AwsBackup=Required; CostCenter=JAS; WorkloadType=Production
172.22.20.41,UMG OMS Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=UMG-OMS
172.22.20.51,UMG OMS Production Batch Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=UMG-OMS
172.22.20.38,UMG OMS Production Application Server - 4,CostCenter=UMG-OMS; WorkloadType=Production; AwsBackup=Required
172.22.148.12,JAS - EMEA Production Application Server - 1,AwsBackup=Required; CostCenter=JAS; WorkloadType=Production
172.22.24.51,RXO Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=RXO
172.22.20.23,UMG OMS Production Application Server - 3,CostCenter=UMG-OMS; AwsBackup=Required; WorkloadType=Production
172.22.24.17,RXO UAT Application and Batch Server - 1,CostCenter=RXO; WorkloadType=UAT; AwsBackup=Required
